request,category,action,confidence,capabilities
"update test settings",configuration,modify_parameters,0.85,"system_info|service_management"
"stop nginx",automation,restore_data,0.93,"disk_management|system_info"
"list hosts in development",asset_management,count_assets,0.91,"asset_management|asset_query"
"debug service performance",troubleshooting,analyze_logs,0.84,"log_analysis|text_search"
"debug database performance",troubleshooting,fix_problem,0.82,"service_management|system_info|process_management"
"check health of database",monitoring,check_status,0.82,"system_monitoring|service_management"
"emergency shutdown of redis",automation,start_service,0.95,"service_management|system_monitoring"
"how do I monitor CPU",information,calculate,0.77,"system_info|infrastructure_info"
"check alerts for staging",monitoring,check_alerts,0.81,"system_monitoring|log_analysis"
"monitor performance of server1",monitoring,view_logs,0.86,"log_analysis|system_info|system_monitoring"
"investigate 404 error in database",troubleshooting,debug_application,0.97,"process_monitoring|log_analysis|system_monitoring|network_testing"
"diagnose performance issues on server1",troubleshooting,check_connectivity,0.8,"network_testing|network_monitoring"
"debug service performance",troubleshooting,diagnose_issue,0.9,"system_monitoring|log_analysis|process_monitoring|network_testing"
"start docker on db-server",automation,restore_data,0.94,"disk_management|system_info"
"deploy api to staging",automation,restart_service,0.84,"service_management|system_monitoring"
"monitor performance of server1",monitoring,get_metrics,0.95,"system_monitoring|memory_monitoring|disk_monitoring"
"execute df -h",automation,execute_command,0.82,"system_info|process_management"
"calculate disk space",information,answer_question,0.97,"system_info|resource_listing"
"fix disk space on db-server",troubleshooting,fix_problem,0.82,"service_management|system_info|process_management"
"explain firewall rules",information,describe_system,0.88,"system_info|infrastructure_info|resource_listing"
"get information about load balancer",asset_management,list_servers,0.76,"asset_management|resource_listing|network_info"
"display contents of /etc/hostname",information,show_documentation,0.88,"system_info"
"get information about load balancer",asset_management,find_asset,0.79,"asset_management|asset_query"
"investigate connection timeout in service",troubleshooting,diagnose_issue,0.96,"system_monitoring|log_analysis|process_monitoring|network_testing"
"check status of postgresql",monitoring,get_metrics,0.9,"system_monitoring|memory_monitoring|disk_monitoring"
"monitor performance of db-server",monitoring,monitor_performance,0.77,"system_monitoring|memory_monitoring|process_monitoring|disk_monitoring"
"discover assets in 10.0.0.0/16",asset_management,list_credentials,0.88,"credential_access|secret_retrieval"
"update apache configuration",configuration,update_environment,0.79,"system_info|service_management"
"get information about database",asset_management,find_asset,0.79,"asset_management|asset_query|network_info"
"discover assets in 10.0.0.0/16",asset_management,get_credentials,0.92,"credential_access|secret_retrieval"
"set permissions for /var/log",configuration,configure_service,0.97,"service_management|system_info"
"deploy microservice to development",automation,restore_data,0.84,"disk_management|system_info|service_management"
"update test settings",configuration,set_permissions,0.88,"system_info|disk_management"
"debug database performance",troubleshooting,debug_application,0.81,"process_monitoring|log_analysis|system_monitoring|network_testing"
"how do I check logs",information,list_resources,0.9,"resource_listing|system_info"
"show system info",information,show_documentation,0.88,"system_info"
"deploy application to development",automation,emergency_response,0.84,"service_management|system_monitoring|process_management"
"set permissions for /var/www",configuration,modify_parameters,0.77,"system_info|service_management"
"show documentation for kubernetes",information,show_examples,0.78,"system_info"
"update security settings for postgresql",configuration,set_permissions,0.9,"system_info|disk_management"
"view logs for nginx",monitoring,check_alerts,0.92,"system_monitoring|log_analysis|process_monitoring"
"read /etc/passwd",information,show_examples,0.96,"system_info|infrastructure_info"
"display contents of /proc/cpuinfo",information,show_documentation,0.76,"system_info"
"get CPU metrics for web-01",monitoring,check_alerts,0.85,"system_monitoring|log_analysis|memory_monitoring"
"get asset db-prod-01",asset_management,list_servers,0.94,"asset_management|resource_listing"
"get CPU metrics for 192.168.1.100",monitoring,monitor_performance,0.85,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"query assets in on-premises",asset_management,list_servers,0.92,"asset_management|resource_listing"
"check connectivity to prod-web-01",troubleshooting,diagnose_issue,0.94,"system_monitoring|log_analysis|process_monitoring"
"backup /home/user to /backup",automation,deploy_application,0.84,"service_management|disk_management|system_monitoring"
"deploy webapp to staging",automation,deploy_application,0.94,"service_management|disk_management|system_monitoring"
"get CPU metrics for prod-web-01",monitoring,view_dashboard,0.83,"system_monitoring|api_query"
"change timeout to 30s",configuration,update_environment,0.87,"system_info|service_management|disk_management"
"get credentials for nginx",asset_management,get_credentials,0.82,"credential_access|secret_retrieval"
"check connectivity to server1",troubleshooting,fix_problem,0.81,"service_management|system_info|process_management"
"monitor performance of web-01",monitoring,view_dashboard,0.96,"system_monitoring|api_query|disk_monitoring"
"stop docker",automation,run_script,0.76,"system_info|process_management|disk_management"
"find asset by IP address",asset_management,query_assets,0.86,"asset_management|asset_query"
"describe load balancer",information,answer_question,0.96,"system_info"
"change max_connections to 512MB",configuration,set_permissions,0.88,"system_info|disk_management"
"list all servers",asset_management,asset_count,0.93,"asset_management|asset_query"
"check connectivity to server1",troubleshooting,check_connectivity,0.94,"network_testing|network_monitoring"
"emergency shutdown of docker",automation,stop_service,0.79,"service_management|system_monitoring|disk_management"
"check alerts for test",monitoring,check_health,0.83,"system_monitoring|service_management|memory_monitoring"
"fix disk space on prod-web-01",troubleshooting,debug_application,0.93,"process_monitoring|log_analysis|system_monitoring"
"list available databases",information,describe_system,0.76,"system_info|infrastructure_info"
"discover assets in production network",asset_management,query_assets,0.91,"asset_management|asset_query"
"execute systemctl status",automation,restart_service,0.97,"service_management|system_monitoring|disk_management"
"check connectivity to 192.168.1.100",troubleshooting,diagnose_issue,0.81,"system_monitoring|log_analysis|process_monitoring"
"debug API performance",troubleshooting,investigate_error,0.93,"log_analysis|system_monitoring"
"explain SSL certificates",information,get_status_info,0.97,"system_info|system_monitoring|resource_listing"
"display contents of /proc/cpuinfo",information,calculate,0.81,"system_info|resource_listing"
"update ssh configuration",configuration,set_permissions,0.77,"system_info|disk_management"
"get CPU metrics for 192.168.1.100",monitoring,view_dashboard,0.9,"system_monitoring|api_query|disk_monitoring"
"configure docker on server1",configuration,update_environment,0.77,"system_info|service_management|disk_management"
"backup /home/user to /tmp",automation,deploy_application,0.77,"service_management|disk_management|system_monitoring|process_management"
"update apache configuration",configuration,change_settings,0.89,"system_info|service_management"
"list available credentials",asset_management,get_asset_info,0.87,"asset_management|asset_query"
"view logs for mysql",monitoring,check_status,0.9,"system_monitoring|service_management"
"count active servers",asset_management,list_credentials,0.78,"credential_access|secret_retrieval|resource_listing"
"view logs for nginx",monitoring,view_dashboard,0.89,"system_monitoring|api_query"
"list available credentials",asset_management,get_asset_info,0.98,"asset_management|asset_query"
"update apache configuration",configuration,update_config,0.8,"system_info|service_management"
"discover assets in 10.0.0.0/16",asset_management,find_asset,0.94,"asset_management|asset_query"
"execute df -h",automation,start_service,0.91,"service_management|system_monitoring|process_management"
"configure apache on db-server",configuration,configure_service,0.86,"service_management|system_info"
"check status of ssh",monitoring,view_dashboard,0.77,"system_monitoring|api_query"
"describe web server",information,math,0.96,"system_info"
"start docker on server1",automation,emergency_response,0.86,"service_management|system_monitoring|process_management"
"query assets in on-premises",asset_management,list_assets,0.75,"asset_management|resource_listing"
"calculate memory usage",information,get_help,0.77,"system_info"
"diagnose postgresql issue",troubleshooting,debug_application,0.88,"process_monitoring|log_analysis|system_monitoring"
"find asset by IP address",asset_management,list_servers,0.83,"asset_management|resource_listing"
"get CPU metrics for 192.168.1.100",monitoring,get_metrics,0.82,"system_monitoring|memory_monitoring|disk_monitoring"
"how do I restart a service",information,show_examples,0.88,"system_info"
"find asset by hostname",asset_management,get_asset_info,0.88,"asset_management|asset_query|resource_listing"
"count active servers",asset_management,list_assets,0.94,"asset_management|resource_listing"
"diagnose performance issues on prod-web-01",troubleshooting,diagnose_issue,0.84,"system_monitoring|log_analysis|process_monitoring|network_testing"
"run backup.sh on db-server",automation,restore_data,0.94,"disk_management|system_info"
"show dashboard for ssh",monitoring,check_health,0.86,"system_monitoring|service_management"
"set permissions for /var/log",configuration,change_settings,0.89,"system_info|service_management"
"check alerts for production",monitoring,view_dashboard,0.84,"system_monitoring|api_query"
"fix slow response on web-01",troubleshooting,analyze_logs,0.91,"log_analysis|text_search"
"find asset by IP address",asset_management,find_asset,0.8,"asset_management|asset_query|network_info"
"get information about server",asset_management,asset_count,0.94,"asset_management|asset_query"
"diagnose ssh issue",troubleshooting,investigate_error,0.94,"log_analysis|system_monitoring"
"change memory_limit to 512MB",configuration,update_config,0.9,"system_info|service_management"
"backup /etc/nginx to /backup",automation,emergency_response,0.92,"service_management|system_monitoring|process_management"
"show dashboard for nginx",monitoring,monitor_performance,0.9,"system_monitoring|memory_monitoring|process_monitoring"
"explain load balancing",information,explain_concept,0.97,"system_info|resource_listing"
"check connectivity to server1",troubleshooting,diagnose_issue,0.83,"system_monitoring|log_analysis|process_monitoring|network_testing"
"check connectivity to 192.168.1.100",troubleshooting,investigate_error,0.92,"log_analysis|system_monitoring"
"explain load balancing",information,list_resources,0.87,"resource_listing|system_info"
"diagnose mysql issue",troubleshooting,fix_problem,0.77,"service_management|system_info|process_management"
"update security settings for redis",configuration,update_security,0.91,"system_info|service_management"
"update security settings for docker",configuration,modify_parameters,0.81,"system_info|service_management"
"check health of service",monitoring,check_alerts,0.88,"system_monitoring|log_analysis"
"check status of docker",monitoring,view_dashboard,0.8,"system_monitoring|api_query|memory_monitoring"
"view logs for ssh",monitoring,check_status,0.93,"system_monitoring|service_management"
"fix slow response on prod-web-01",troubleshooting,analyze_logs,0.85,"log_analysis|text_search"
"search for db-primary",asset_management,get_asset,0.86,"asset_management|asset_query|resource_listing"
"diagnose nginx issue",troubleshooting,debug_application,0.82,"process_monitoring|log_analysis|system_monitoring"
"set permissions for /var/www",configuration,configure_service,0.98,"service_management|system_info"
"backup /var/log to /tmp",automation,restart_service,0.86,"service_management|system_monitoring"
"show process list",information,provide_information,0.79,"system_info|infrastructure_info|resource_listing"
"discover assets in 192.168.1.0/24",asset_management,get_asset,0.89,"asset_management|asset_query"
"check connectivity to web-01",troubleshooting,check_connectivity,0.93,"network_testing|network_monitoring"
"list all servers",asset_management,list_hosts,0.92,"asset_management|resource_listing"
"restart nginx service",automation,start_service,0.88,"service_management|system_monitoring"
"monitor performance of 192.168.1.100",monitoring,monitor_performance,0.93,"system_monitoring|memory_monitoring|process_monitoring"
"display contents of /etc/hostname",information,provide_information,0.78,"system_info|infrastructure_info"
"emergency shutdown of postgresql",automation,start_service,0.9,"service_management|system_monitoring|system_info"
"check health of web app",monitoring,view_logs,0.83,"log_analysis|system_info|process_monitoring"
"how do I check logs",information,explain_concept,0.87,"system_info"
"modify timeout in mysql",configuration,update_config,0.81,"system_info|service_management"
"update test settings",configuration,modify_parameters,0.78,"system_info|service_management|disk_management"
"set permissions for /etc/nginx",configuration,update_config,0.76,"system_info|service_management"
"get CPU metrics for 192.168.1.100",monitoring,check_health,0.76,"system_monitoring|service_management|log_analysis"
"show dashboard for ssh",monitoring,check_health,0.77,"system_monitoring|service_management"
"deploy application to production",automation,backup_data,0.77,"disk_management|system_info"
"show documentation for monitoring",information,get_status_info,0.77,"system_info|system_monitoring"
"query assets in on-premises",asset_management,get_credentials,0.78,"credential_access|secret_retrieval"
"backup /var/log to /archive",automation,start_service,0.94,"service_management|system_monitoring"
"execute ps aux",automation,run_script,0.9,"system_info|process_management"
"get credentials for apache",asset_management,list_credentials,0.94,"credential_access|secret_retrieval|network_info"
"update test settings",configuration,configure_service,0.77,"service_management|system_info"
"set permissions for /var/log",configuration,update_config,0.86,"system_info|service_management"
"backup /etc/nginx to /archive",automation,deploy_application,0.87,"service_management|disk_management|system_monitoring"
"deploy webapp to production",automation,stop_service,0.93,"service_management|system_monitoring"
"debug web app performance",troubleshooting,debug_application,0.77,"process_monitoring|log_analysis|system_monitoring|network_testing"
"update docker configuration",configuration,configure_service,0.77,"service_management|system_info"
"deploy webapp to staging",automation,restart_service,0.83,"service_management|system_monitoring|system_info"
"update production settings",configuration,modify_parameters,0.79,"system_info|service_management"
"analyze logs for connection timeout",troubleshooting,diagnose_performance,0.91,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"get CPU metrics for web-01",monitoring,check_status,0.82,"system_monitoring|service_management|process_monitoring"
"describe web server",information,math,0.77,"system_info|infrastructure_info"
"read /etc/passwd",information,get_status_info,0.9,"system_info|system_monitoring"
"show process list",information,answer_question,0.87,"system_info"
"check status of ssh",monitoring,view_dashboard,0.78,"system_monitoring|api_query"
"fix memory leak on 192.168.1.100",troubleshooting,diagnose_issue,0.96,"system_monitoring|log_analysis|process_monitoring"
"view logs for redis",monitoring,check_status,0.82,"system_monitoring|service_management"
"debug service performance",troubleshooting,fix_problem,0.9,"service_management|system_info|process_management|log_analysis"
"list available services",information,get_help,0.9,"system_info"
"how do I restart a service",information,describe_system,0.83,"system_info|infrastructure_info|resource_listing"
"restore /var/log from /backup/daily",automation,run_script,0.82,"system_info|process_management|service_management"
"find asset by IP address",asset_management,get_asset,0.81,"asset_management|asset_query"
"update security settings for redis",configuration,update_environment,0.81,"system_info|service_management"
"describe web server",information,math,0.83,"system_info"
"how do I monitor CPU",information,compute,0.76,"system_info|resource_listing"
"set permissions for /var/log",configuration,update_config,0.82,"system_info|service_management"
"configure ssh on server1",configuration,set_permissions,0.95,"system_info|disk_management"
"deploy application to production",automation,backup_data,0.81,"disk_management|system_info"
"list available credentials",asset_management,get_credentials,0.92,"credential_access|secret_retrieval"
"list hosts in staging",asset_management,list_assets,0.92,"asset_management|resource_listing"
"modify timeout in ssh",configuration,update_config,0.98,"system_info|service_management|disk_management"
"deploy microservice to development",automation,deploy_application,0.81,"service_management|disk_management|system_monitoring"
"show examples of curl commands",information,compute,0.84,"system_info"
"view logs for postgresql",monitoring,view_logs,0.86,"log_analysis|system_info"
"show documentation for nginx",information,get_help,0.91,"system_info"
"list available credentials",asset_management,count_assets,0.92,"asset_management|asset_query"
"restore /home/user from /snapshots/latest",automation,stop_service,0.75,"service_management|system_monitoring"
"run deploy.py on 192.168.1.100",automation,run_script,0.97,"system_info|process_management"
"what is the status of database",information,list_resources,0.87,"resource_listing|system_info"
"show dashboard for apache",monitoring,get_metrics,0.77,"system_monitoring|memory_monitoring|disk_monitoring"
"check connectivity to prod-web-01",troubleshooting,debug_application,0.83,"process_monitoring|log_analysis|system_monitoring|network_testing"
"set permissions for /var/www",configuration,update_security,0.79,"system_info|service_management"
"check status of apache",monitoring,monitor_performance,0.94,"system_monitoring|memory_monitoring|process_monitoring"
"show process list",information,list_resources,0.82,"resource_listing|system_info|infrastructure_info"
"get CPU metrics for db-server",monitoring,monitor_performance,0.91,"system_monitoring|memory_monitoring|process_monitoring"
"diagnose performance issues on 192.168.1.100",troubleshooting,debug_application,0.88,"process_monitoring|log_analysis|system_monitoring"
"debug service performance",troubleshooting,check_connectivity,0.92,"network_testing|network_monitoring"
"get CPU metrics for prod-web-01",monitoring,check_alerts,0.95,"system_monitoring|log_analysis"
"run cleanup.py on prod-web-01",automation,run_script,0.94,"system_info|process_management|disk_management"
"execute df -h",automation,run_script,0.84,"system_info|process_management"
"get CPU metrics for web-01",monitoring,view_dashboard,0.78,"system_monitoring|api_query"
"calculate memory usage",information,explain_concept,0.87,"system_info|infrastructure_info"
"restore /home/user from /snapshots/latest",automation,start_service,0.91,"service_management|system_monitoring|disk_management"
"view logs for ssh",monitoring,monitor_performance,0.93,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"execute systemctl status",automation,stop_service,0.96,"service_management|system_monitoring"
"get information about load balancer",asset_management,get_asset,0.81,"asset_management|asset_query"
"set permissions for /etc/nginx",configuration,configure_service,0.83,"service_management|system_info"
"check health of database",monitoring,view_dashboard,0.95,"system_monitoring|api_query"
"find asset by IP address",asset_management,get_asset,0.93,"asset_management|asset_query"
"discover assets in production network",asset_management,find_asset,0.88,"asset_management|asset_query"
"debug web app performance",troubleshooting,diagnose_issue,0.76,"system_monitoring|log_analysis|process_monitoring"
"check connectivity to db-server",troubleshooting,check_connectivity,0.88,"network_testing|network_monitoring|log_analysis"
"debug database performance",troubleshooting,diagnose_performance,0.93,"system_monitoring|memory_monitoring|process_monitoring"
"list all servers",asset_management,list_servers,0.96,"asset_management|resource_listing"
"analyze logs for connection timeout",troubleshooting,fix_problem,0.94,"service_management|system_info|process_management"
"diagnose apache issue",troubleshooting,check_connectivity,0.96,"network_testing|network_monitoring"
"find asset by service type",asset_management,find_asset,0.89,"asset_management|asset_query"
"discover assets in 10.0.0.0/16",asset_management,asset_count,0.86,"asset_management|asset_query"
"analyze logs for 404 error",troubleshooting,diagnose_performance,0.83,"system_monitoring|memory_monitoring|process_monitoring"
"update security settings for docker",configuration,update_config,0.83,"system_info|service_management"
"analyze logs for permission denied",troubleshooting,debug_application,0.76,"process_monitoring|log_analysis|system_monitoring"
"calculate memory usage",information,describe_system,0.84,"system_info|infrastructure_info"
"execute systemctl status",automation,backup_data,0.85,"disk_management|system_info"
"get server list",information,explain_concept,0.77,"system_info"
"update security settings for nginx",configuration,update_config,0.9,"system_info|service_management|disk_management"
"fix slow response on server1",troubleshooting,check_connectivity,0.8,"network_testing|network_monitoring|log_analysis"
"show examples of ssh keys",information,get_help,0.9,"system_info"
"update mysql configuration",configuration,set_permissions,0.9,"system_info|disk_management"
"check health of web app",monitoring,monitor_performance,0.89,"system_monitoring|memory_monitoring|process_monitoring|log_analysis"
"list hosts in production",asset_management,search_assets,0.93,"asset_management|asset_query"
"list all servers",asset_management,list_credentials,0.93,"credential_access|secret_retrieval|network_info"
"describe load balancer",information,describe_system,0.82,"system_info|infrastructure_info"
"check health of database",monitoring,check_health,0.88,"system_monitoring|service_management"
"check alerts for staging",monitoring,get_metrics,0.86,"system_monitoring|memory_monitoring|disk_monitoring"
"show examples of curl commands",information,describe_system,0.82,"system_info|infrastructure_info|resource_listing"
"update docker configuration",configuration,modify_parameters,0.81,"system_info|service_management"
"view logs for postgresql",monitoring,check_alerts,0.82,"system_monitoring|log_analysis"
"fix connection issue on server1",troubleshooting,check_connectivity,0.94,"network_testing|network_monitoring"
"list all servers",asset_management,list_credentials,0.78,"credential_access|secret_retrieval"
"update security settings for docker",configuration,update_environment,0.9,"system_info|service_management|disk_management"
"how do I restart a service",information,describe_system,0.77,"system_info|infrastructure_info"
"describe load balancer",information,calculate,0.8,"system_info"
"monitor performance of db-server",monitoring,view_logs,0.82,"log_analysis|system_info"
"get information about database",asset_management,get_asset_info,0.78,"asset_management|asset_query"
"get information about load balancer",asset_management,get_credentials,0.91,"credential_access|secret_retrieval"
"run maintenance.sh on prod-web-01",automation,restore_data,0.96,"disk_management|system_info"
"change port to 30s",configuration,update_environment,0.82,"system_info|service_management"
"list available credentials",asset_management,asset_count,0.96,"asset_management|asset_query"
"list available credentials",asset_management,count_assets,0.83,"asset_management|asset_query"
"update nginx configuration",configuration,change_settings,0.76,"system_info|service_management"
"update security settings for mysql",configuration,set_permissions,0.94,"system_info|disk_management"
"backup /home/user to /backup",automation,stop_service,0.93,"service_management|system_monitoring|process_management"
"discover assets in 192.168.1.0/24",asset_management,query_assets,0.82,"asset_management|asset_query|network_info"
"diagnose performance issues on prod-web-01",troubleshooting,diagnose_performance,0.78,"system_monitoring|memory_monitoring|process_monitoring"
"check health of service",monitoring,view_dashboard,0.81,"system_monitoring|api_query"
"restart nginx service",automation,restore_data,0.78,"disk_management|system_info"
"check health of database",monitoring,monitor_performance,0.79,"system_monitoring|memory_monitoring|process_monitoring"
"update mysql configuration",configuration,configure_service,0.91,"service_management|system_info"
"restart redis service",automation,restart_service,0.87,"service_management|system_monitoring"
"view logs for nginx",monitoring,view_dashboard,0.81,"system_monitoring|api_query"
"show network config",information,math,0.95,"system_info"
"analyze logs for permission denied",troubleshooting,diagnose_performance,0.9,"system_monitoring|memory_monitoring|process_monitoring"
"backup /var/log to /tmp",automation,execute_command,0.78,"system_info|process_management|disk_management"
"check alerts for production",monitoring,check_health,0.81,"system_monitoring|service_management"
"show dashboard for mysql",monitoring,monitor_performance,0.91,"system_monitoring|memory_monitoring|process_monitoring|disk_monitoring"
"investigate permission denied in database",troubleshooting,diagnose_performance,0.82,"system_monitoring|memory_monitoring|process_monitoring"
"fix disk space on db-server",troubleshooting,fix_problem,0.78,"service_management|system_info|process_management|network_testing"
"fix connection issue on 192.168.1.100",troubleshooting,fix_problem,0.77,"service_management|system_info|process_management"
"explain load balancing",information,list_resources,0.83,"resource_listing|system_info"
"update redis configuration",configuration,update_config,0.78,"system_info|service_management"
"update production settings",configuration,configure_service,0.85,"service_management|system_info"
"list available containers",information,describe_system,0.91,"system_info|infrastructure_info"
"list all servers",asset_management,asset_count,0.96,"asset_management|asset_query"
"check alerts for development",monitoring,view_logs,0.95,"log_analysis|system_info|memory_monitoring"
"modify timeout in nginx",configuration,set_permissions,0.82,"system_info|disk_management"
"how do I restart a service",information,answer_question,0.89,"system_info"
"show examples of ssh keys",information,get_help,0.95,"system_info"
"update security settings for redis",configuration,set_permissions,0.97,"system_info|disk_management|service_management"
"get CPU metrics for server1",monitoring,check_status,0.85,"system_monitoring|service_management|disk_monitoring"
"list available services",information,show_examples,0.75,"system_info"
"list hosts in development",asset_management,count_assets,0.87,"asset_management|asset_query"
"stop redis",automation,emergency_response,0.79,"service_management|system_monitoring|process_management"
"restore /var/www from /snapshots/latest",automation,restore_data,0.92,"disk_management|system_info|process_management"
"change port to 30s",configuration,configure_service,0.95,"service_management|system_info|disk_management"
"diagnose apache issue",troubleshooting,diagnose_issue,0.98,"system_monitoring|log_analysis|process_monitoring"
"count active servers",asset_management,search_assets,0.86,"asset_management|asset_query|resource_listing"
"investigate connection timeout in service",troubleshooting,fix_problem,0.96,"service_management|system_info|process_management"
"show dashboard for postgresql",monitoring,get_metrics,0.79,"system_monitoring|memory_monitoring|disk_monitoring"
"update postgresql configuration",configuration,update_config,0.78,"system_info|service_management"
"check status of postgresql",monitoring,check_health,0.91,"system_monitoring|service_management|disk_monitoring"
"view logs for mysql",monitoring,check_alerts,0.77,"system_monitoring|log_analysis|process_monitoring"
"list all servers",asset_management,list_assets,0.91,"asset_management|resource_listing"
"set permissions for /etc/nginx",configuration,change_settings,0.93,"system_info|service_management"
"restart ssh service",automation,execute_command,0.82,"system_info|process_management"
"fix memory leak on prod-web-01",troubleshooting,investigate_error,0.93,"log_analysis|system_monitoring"
"get credentials for mysql",asset_management,list_assets,0.85,"asset_management|resource_listing"
"query assets in datacenter-1",asset_management,search_assets,0.79,"asset_management|asset_query|resource_listing"
"investigate permission denied in API",troubleshooting,debug_application,0.85,"process_monitoring|log_analysis|system_monitoring"
"get information about load balancer",asset_management,find_asset,0.84,"asset_management|asset_query"
"analyze logs for connection timeout",troubleshooting,analyze_logs,0.8,"log_analysis|text_search|network_testing"
"search for web-server",asset_management,asset_count,0.85,"asset_management|asset_query"
"list hosts in development",asset_management,list_assets,0.85,"asset_management|resource_listing|asset_query"
"investigate out of memory in API",troubleshooting,debug_application,0.96,"process_monitoring|log_analysis|system_monitoring"
"diagnose postgresql issue",troubleshooting,diagnose_performance,0.92,"system_monitoring|memory_monitoring|process_monitoring"
"discover assets in production network",asset_management,get_asset_info,0.78,"asset_management|asset_query"
"stop nginx",automation,restore_data,0.84,"disk_management|system_info|process_management"
"check alerts for development",monitoring,get_metrics,0.84,"system_monitoring|memory_monitoring|disk_monitoring"
"search for web-server",asset_management,get_asset,0.87,"asset_management|asset_query|network_info"
"check health of web app",monitoring,monitor_performance,0.93,"system_monitoring|memory_monitoring|process_monitoring"
"query assets in datacenter-1",asset_management,find_asset,0.87,"asset_management|asset_query"
"count active servers",asset_management,count_assets,0.84,"asset_management|asset_query"
"run backup.sh on db-server",automation,execute_command,0.87,"system_info|process_management|service_management"
"list available databases",information,provide_information,0.83,"system_info|infrastructure_info"
"configure postgresql on server1",configuration,modify_parameters,0.87,"system_info|service_management"
"check alerts for test",monitoring,monitor_performance,0.85,"system_monitoring|memory_monitoring|process_monitoring"
"show network config",information,compute,0.75,"system_info"
"configure apache on web-01",configuration,update_config,0.97,"system_info|service_management|disk_management"
"monitor performance of server1",monitoring,check_alerts,0.95,"system_monitoring|log_analysis|disk_monitoring"
"find asset by service type",asset_management,query_assets,0.93,"asset_management|asset_query|resource_listing"
"get configuration",information,list_resources,0.84,"resource_listing|system_info|infrastructure_info"
"execute ps aux",automation,backup_data,0.86,"disk_management|system_info"
"list available credentials",asset_management,query_assets,0.87,"asset_management|asset_query|resource_listing"
"backup /etc/nginx to /backup",automation,stop_service,0.91,"service_management|system_monitoring|disk_management"
"display contents of /etc/passwd",information,compute,0.95,"system_info"
"what is the status of service",information,explain_concept,0.86,"system_info"
"query assets in on-premises",asset_management,count_assets,0.88,"asset_management|asset_query|network_info"
"count active servers",asset_management,list_servers,0.88,"asset_management|resource_listing"
"check connectivity to web-01",troubleshooting,diagnose_performance,0.91,"system_monitoring|memory_monitoring|process_monitoring"
"modify buffer_size in redis",configuration,modify_parameters,0.82,"system_info|service_management"
"show process list",information,compute,0.78,"system_info|infrastructure_info"
"diagnose redis issue",troubleshooting,analyze_logs,0.81,"log_analysis|text_search"
"get information about database",asset_management,query_assets,0.85,"asset_management|asset_query"
"update security settings for apache",configuration,change_settings,0.91,"system_info|service_management"
"configure nginx on prod-web-01",configuration,update_security,0.89,"system_info|service_management"
"emergency shutdown of postgresql",automation,restore_data,0.91,"disk_management|system_info"
"list all servers",asset_management,asset_discovery,0.82,"asset_management|network_info"
"backup /var/www to /backup",automation,restore_data,0.91,"disk_management|system_info|service_management"
"view logs for apache",monitoring,check_status,0.97,"system_monitoring|service_management"
"list available credentials",asset_management,get_asset_info,0.95,"asset_management|asset_query"
"monitor performance of server1",monitoring,get_metrics,0.94,"system_monitoring|memory_monitoring|disk_monitoring"
"explain load balancing",information,show_examples,0.89,"system_info"
"deploy api to production",automation,stop_service,0.91,"service_management|system_monitoring"
"debug database performance",troubleshooting,diagnose_issue,0.88,"system_monitoring|log_analysis|process_monitoring|network_testing"
"fix disk space on db-server",troubleshooting,check_connectivity,0.76,"network_testing|network_monitoring|process_monitoring"
"display contents of /etc/hostname",information,math,0.95,"system_info"
"investigate out of memory in API",troubleshooting,diagnose_performance,0.8,"system_monitoring|memory_monitoring|process_monitoring"
"stop redis",automation,restore_data,0.94,"disk_management|system_info"
"diagnose docker issue",troubleshooting,debug_application,0.86,"process_monitoring|log_analysis|system_monitoring"
"monitor performance of db-server",monitoring,monitor_performance,0.85,"system_monitoring|memory_monitoring|process_monitoring"
"fix memory leak on prod-web-01",troubleshooting,diagnose_performance,0.84,"system_monitoring|memory_monitoring|process_monitoring"
"check alerts for staging",monitoring,check_status,0.92,"system_monitoring|service_management"
"calculate memory usage",information,provide_information,0.76,"system_info|infrastructure_info"
"explain SSL certificates",information,math,0.92,"system_info"
"count active servers",asset_management,list_hosts,0.84,"asset_management|resource_listing"
"diagnose performance issues on web-01",troubleshooting,debug_application,0.9,"process_monitoring|log_analysis|system_monitoring"
"diagnose performance issues on db-server",troubleshooting,analyze_logs,0.84,"log_analysis|text_search"
"monitor performance of prod-web-01",monitoring,check_alerts,0.98,"system_monitoring|log_analysis"
"check status of nginx",monitoring,check_status,0.85,"system_monitoring|service_management"
"calculate CPU usage",information,provide_information,0.83,"system_info|infrastructure_info"
"update test settings",configuration,update_config,0.88,"system_info|service_management"
"analyze logs for permission denied",troubleshooting,check_connectivity,0.79,"network_testing|network_monitoring"
"check status of postgresql",monitoring,view_logs,0.84,"log_analysis|system_info"
"monitor performance of 192.168.1.100",monitoring,get_metrics,0.96,"system_monitoring|memory_monitoring|disk_monitoring|process_monitoring"
"configure redis on prod-web-01",configuration,modify_parameters,0.89,"system_info|service_management|disk_management"
"investigate permission denied in web app",troubleshooting,diagnose_performance,0.95,"system_monitoring|memory_monitoring|process_monitoring|network_testing"
"monitor performance of prod-web-01",monitoring,get_metrics,0.75,"system_monitoring|memory_monitoring|disk_monitoring"
